Price,Mileage(miles),Registration_Year,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class
3399,55000,14,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5
1990,150000,18,Diesel,Hatchback,1.9,Manual,5.0,5.0,Euro 4
1200,95000,16,Diesel,Hatchback,1.8,Manual,5.0,5.0,Euro 4
1490,135800,17,Petrol,Hatchback,1.3,Manual,5.0,5.0,Euro 4
2250,98000,19,Petrol,Convertible,2.0,Automatic,2.0,4.0,Euro 4
2800,106305,14,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 5
2490,86000,14,Petrol,Coupe,2.0,Manual,2.0,4.0,Euro 5
1695,75786,17,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4
1795,99905,15,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5
2500,95000,14,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5
2495,149000,15,Diesel,Hatchback,1.2,Manual,5.0,5.0,Euro 5
15900,62402,6,Petrol,Hatchback,1.3,Automatic,5.0,5.0,Euro 6
10698,22782,5,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6
1795,63796,17,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4
1250,178000,18,Petrol,Hatchback,1.8,Automatic,5.0,5.0,Euro 4
988,113218,20,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4
1995,88000,17,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 4
1999,122000,16,Petrol,Hatchback,1.4,Automatic,5.0,5.0,Euro 4
1449,57000,26,Petrol,Saloon,1.9,Automatic,4.0,5.0,Euro 3
1290,119000,23,Petrol,Hatchback,1.6,Automatic,5.0,5.0,Euro 3
1449,111400,17,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 4
3295,94000,11,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 5
1400,155085,21,Petrol,Estate,2.4,Manual,5.0,5.0,Euro 4
1950,93000,13,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5
10698,22782,5,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6
19800,69690,6,Petrol Plug-in Hybrid,Saloon,2.0,Automatic,4.0,5.0,Euro 6
2249,99000,16,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 4
1390,127000,17,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4
1795,104020,15,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 4
1699,92000,16,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4
999,99000,21,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4
700,101000,22,Petrol,Convertible,2.0,Manual,2.0,4.0,Euro 4
3250,100312,12,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5
3245,55000,13,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 5
1250,135000,17,Petrol,MPV,2.0,Automatic,5.0,5.0,Euro 4
1900,132000,17,Petrol,Hatchback,1.8,Automatic,5.0,5.0,Euro 4
3495,127000,10,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 6
10000,46923,8,Petrol,Hatchback,1.5,Manual,3.0,4.0,Euro 6
19800,69690,6,Petrol Plug-in Hybrid,Saloon,2.0,Automatic,4.0,5.0,Euro 6
1000,160000,17,Diesel,Hatchback,2.2,Manual,3.0,5.0,Euro 4
1490,65500,17,Petrol,Hatchback,1.0,Manual,3.0,4.0,Euro 4
1950,93000,13,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5
1695,115000,18,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4
1750,130000,15,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4
2495,149000,15,Diesel,Hatchback,1.2,Manual,5.0,5.0,Euro 5
1389,68000,23,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 3
4490,84000,12,Petrol,Hatchback,1.0,Manual,5.0,5.0,Euro 5
990,113000,21,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 3
2849,101000,16,Petrol,Saloon,1.6,Manual,4.0,5.0,Euro 4
2799,99061,14,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5
9149,55301,9,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6
15900,62402,6,Petrol,Hatchback,1.3,Automatic,5.0,5.0,Euro 6
1990,84815,22,Petrol,Hatchback,3.0,Manual,5.0,5.0,Euro 4
3495,127000,10,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 6
1600,78521,14,Diesel,MPV,1.3,Manual,5.0,5.0,Euro 5
2650,85000,17,Petrol,MPV,1.5,Manual,5.0,5.0,Euro 4
2990,66000,16,Petrol,Saloon,1.6,Manual,4.0,5.0,Euro 4
2495,171090,15,Petrol,Saloon,2.0,Manual,4.0,5.0,Euro 5
4300,100479,21,Petrol,Coupe,3.5,Manual,2.0,2.0,Euro 3
2499,68000,17,Petrol,Hatchback,1.6,Manual,3.0,4.0,Euro 4
1500,120000,14,Petrol,Hatchback,1.4,Manual,3.0,4.0,Euro 5
2495,113000,16,Petrol,Saloon,2.0,Manual,4.0,5.0,Euro 4
2799,99061,14,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5
15900,62402,6,Petrol,Hatchback,1.3,Automatic,5.0,5.0,Euro 6
10698,22782,5,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6
2950,105000,14,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5
3300,71000,13,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5
1490,75000,18,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4
2495,104000,19,Petrol,Saloon,3.2,Automatic,4.0,5.0,Euro 4
1995,75350,20,Petrol,Saloon,1.8,Automatic,4.0,5.0,Euro 3
3490,22641,19,Petrol,Saloon,2.0,Manual,4.0,5.0,Euro 4
2490,104392,15,Petrol,Saloon,2.0,Manual,4.0,5.0,Euro 5
2995,104068,15,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5
2950,79000,14,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 5
1950,93000,13,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5
10698,22782,5,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6
10198,50028,9,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6
988,111479,20,Petrol,Hatchback,1.6,Manual,3.0,5.0,Euro 3
1389,80000,25,Petrol,Saloon,1.9,Manual,4.0,5.0,Euro 3
1395,99911,22,Petrol,Hatchback,1.6,Manual,3.0,4.0,Euro 3
2490,46000,18,Petrol,Hatchback,1.6,Manual,3.0,4.0,Euro 4
2895,120000,11,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5
3289,79000,13,Diesel,SUV,2.2,Manual,5.0,5.0,Euro 5
3799,114000,11,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 5
2945,66000,17,Petrol,Hatchback,1.6,Automatic,5.0,5.0,Euro 4
2499,65000,16,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4
798,140599,17,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4
10198,50028,9,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6
10000,46923,8,Petrol,Hatchback,1.5,Manual,3.0,4.0,Euro 6
2799,99061,14,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5
995,184000,16,Diesel,Hatchback,2.0,Manual,5.0,5.0,Euro 4
2950,139000,21,Petrol,Saloon,3.0,Automatic,4.0,5.0,Euro 3
1389,120000,26,Petrol,SUV,2.0,Automatic,5.0,5.0,Euro 3
990,85000,18,Petrol,Hatchback,1.2,Manual,5.0,4.0,Euro 4
1850,93000,16,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4
1990,51116,17,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4
2695,69000,20,Petrol,Hatchback,1.6,Manual,3.0,4.0,Euro 3
1895,111998,18,Petrol,Hatchback,1.2,Automatic,3.0,5.0,Euro 4
1995,93101,17,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4
2950,105000,14,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5
10000,46923,8,Petrol,Hatchback,1.5,Manual,3.0,4.0,Euro 6
10198,50028,9,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6
1395,45000,15,Petrol,Hatchback,1.1,Manual,5.0,4.0,Euro 4
2495,74325,18,Petrol,Saloon,2.0,Manual,4.0,5.0,Euro 4
1498,102329,18,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 4
2495,97000,17,Petrol,Hatchback,1.5,Manual,5.0,5.0,Euro 4
1949,113000,14,Diesel,Hatchback,2.0,Manual,5.0,5.0,Euro 5
2700,84000,11,Diesel,Hatchback,1.3,Manual,5.0,5.0,Euro 5
1990,43000,18,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4
1400,92000,19,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4
1500,100600,15,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 4
2995,100000,13,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5
999,111400,18,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4
10198,50028,9,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6
15900,62402,6,Petrol,Hatchback,1.3,Automatic,5.0,5.0,Euro 6
1300,120000,15,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5
4250,95000,19,Petrol,Saloon,3.1,Automatic,4.0,5.0,Euro 4
2999,27682,18,Petrol,Hatchback,1.3,Manual,5.0,5.0,Euro 4
2495,89900,18,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4
2499,80742,14,Petrol,Hatchback,1.2,Manual,3.0,4.0,Euro 5
2394,55926,17,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4
1999,105000,15,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4
2495,132000,21,Petrol,SUV,3.7,Automatic,5.0,5.0,Euro 3
3495,79000,15,Petrol,Hatchback,1.6,Automatic,5.0,5.0,Euro 4
3995,89000,17,Petrol,Saloon,1.8,Manual,4.0,5.0,Euro 4
3495,127000,10,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 6
15900,62402,6,Petrol,Hatchback,1.3,Automatic,5.0,5.0,Euro 6
9600,56984,9,Diesel,Estate,1.6,Manual,5.0,5.0,Euro 6
1839,103900,16,Diesel,MPV,2.0,Manual,5.0,7.0,Euro 4
2595,102000,15,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5
4700,95000,14,Petrol,Hatchback,1.4,Automatic,3.0,5.0,Euro 5
2490,36600,18,Petrol,Hatchback,1.6,Automatic,3.0,4.0,Euro 4
990,130000,19,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4
1950,70345,17,Petrol,Convertible,1.6,Manual,2.0,4.0,Euro 4
1390,97000,14,Petrol,Hatchback,1.0,Manual,5.0,4.0,Euro 5
3495,112000,15,Petrol,Hatchback,1.4,Automatic,5.0,5.0,Euro 4
1490,49000,21,Petrol,Hatchback,1.0,Manual,5.0,5.0,Euro 3
2799,99061,14,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5
9198,78691,7,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6
10198,50028,9,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6
2350,89000,15,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5
1399,171000,18,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4
1189,125000,20,Petrol,Hatchback,1.6,Manual,3.0,4.0,Euro 4
3889,115000,14,Diesel,Saloon,2.0,Manual,4.0,5.0,Euro 5
2599,99000,18,Petrol,Saloon,3.0,Manual,4.0,5.0,Euro 4
2795,71000,14,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 5
2699,97500,16,Petrol,Hatchback,1.3,Manual,3.0,5.0,Euro 4
3999,36000,11,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 5
2700,97385,12,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5
999,111400,18,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4
10198,50028,9,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6
10698,22782,5,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6
3250,66800,12,Petrol,Hatchback,1.3,Manual,3.0,5.0,Euro 5
2898,98979,22,Petrol,Coupe,2.5,Automatic,2.0,5.0,Euro 3
2950,98207,18,Petrol,Hatchback,1.6,Automatic,5.0,5.0,Euro 4
1749,60000,19,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4
2495,101591,15,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4
3799,68000,14,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5
1100,164470,19,Petrol,Hatchback,1.3,Manual,5.0,5.0,Euro 4
2490,86000,14,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5
3250,90000,15,Petrol,Estate,1.6,Automatic,5.0,5.0,Euro 4
3000,123000,15,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5
3495,127000,10,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 6
10698,22782,5,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6
10198,50028,9,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6
2995,67361,16,Petrol,Hatchback,1.3,Manual,3.0,5.0,Euro 5
4495,116000,16,Petrol,SUV,2.4,Automatic,5.0,7.0,Euro 4
3750,99000,15,Petrol,Hatchback,1.4,Manual,3.0,4.0,Euro 5
2945,80997,16,Petrol,Hatchback,1.3,Manual,3.0,5.0,Euro 4
2889,100000,16,Diesel,Estate,2.0,Manual,5.0,5.0,Euro 5
995,110846,20,Diesel,Hatchback,2.0,Manual,5.0,5.0,Euro 3
3350,65000,12,Petrol,Hatchback,1.4,Manual,3.0,3.0,Euro 5
2499,85578,17,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4
2100,77502,13,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 5
1800,130500,14,Petrol,Hatchback,1.6,Manual,3.0,5.0,Euro 5
1299,87000,17,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4
10198,50028,9,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6
9149,55301,9,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6
2300,64000,15,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5
1500,96270,17,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4
1195,45000,20,Petrol,Hatchback,1.3,Manual,3.0,5.0,Euro 3
3250,78000,14,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5
5299,54000,11,Petrol,Hatchback,1.6,Manual,3.0,5.0,Euro 5
2250,49000,20,Diesel,Saloon,1.9,Automatic,4.0,5.0,Euro 3
2495,95000,14,Petrol,MPV,1.8,Manual,5.0,7.0,Euro 5
7699,58000,10,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 5
1999,76850,16,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4
2299,99000,16,Diesel,MPV,2.0,Manual,5.0,5.0,Euro 4
2950,79000,14,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 5
8975,86500,8,Diesel,Hatchback,1.5,Manual,5.0,5.0,Euro 6
15900,62402,6,Petrol,Hatchback,1.3,Automatic,5.0,5.0,Euro 6
3450,147000,9,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6
4000,114121,19,Petrol,Coupe,3.0,Automatic,2.0,4.0,Euro 4
1899,82000,16,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5
3995,91000,14,Diesel,Saloon,2.2,Automatic,4.0,5.0,Euro 5
5799,69550,9,Petrol,Coupe,1.2,Manual,3.0,5.0,Euro 6
2000,138000,17,Petrol,Saloon,2.0,Automatic,4.0,5.0,Euro 4
2485,77720,19,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4
1995,84000,17,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4
2490,59042,19,Diesel,Hatchback,1.9,Manual,5.0,5.0,Euro 4
3495,127000,10,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 6
9198,78691,7,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6
19800,69690,6,Petrol Plug-in Hybrid,Saloon,2.0,Automatic,4.0,5.0,Euro 6
2745,120000,11,Petrol,Hatchback,1.4,Manual,3.0,4.0,Euro 5
1990,56817,17,Petrol,Hatchback,1.4,Manual,3.0,4.0,Euro 4
1650,85285,16,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 4
2250,82000,15,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5
3795,87009,16,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5
5450,69756,13,Diesel,Hatchback,2.2,Manual,5.0,5.0,Euro 5
2600,234680,14,Diesel,Estate,2.0,Manual,5.0,5.0,Euro 5
2999,77708,24,Petrol,Coupe,2.2,Manual,2.0,5.0,Euro 3
1990,68840,14,Petrol,MPV,1.4,Manual,5.0,5.0,Euro 5
798,140599,17,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4
19800,69690,6,Petrol Plug-in Hybrid,Saloon,2.0,Automatic,4.0,5.0,Euro 6
8975,86500,8,Diesel,Hatchback,1.5,Manual,5.0,5.0,Euro 6
2395,109000,16,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 4
1789,119300,23,Petrol,Saloon,2.2,Manual,4.0,5.0,Euro 3
5995,78000,12,Diesel,MPV,1.8,Automatic,5.0,5.0,Euro 5
3795,120090,14,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 5
990,93000,21,Petrol,MPV,1.8,Manual,5.0,5.0,Euro 3
3100,140000,13,Diesel,Coupe,2.1,Manual,2.0,4.0,Euro 5
1950,88000,16,Petrol,Hatchback,1.2,Manual,3.0,4.0,Euro 4
2250,77000,16,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 4
2495,124138,14,Petrol,Hatchback,1.2,Automatic,5.0,5.0,Euro 5
2495,101347,14,Petrol,Estate,1.6,Manual,5.0,5.0,Euro 5
798,140599,17,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4
8975,86500,8,Diesel,Hatchback,1.5,Manual,5.0,5.0,Euro 6
10698,22782,5,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6
2999,107000,16,Petrol,Hatchback,1.6,Automatic,3.0,4.0,Euro 4
2495,130000,18,Petrol,Saloon,1.8,Automatic,4.0,5.0,Euro 4
2299,67200,22,Petrol,Saloon,2.0,Manual,4.0,5.0,Euro 3
1750,113500,15,Petrol,Hatchback,1.0,Manual,5.0,5.0,Euro 4
3100,68160,15,Petrol,Hatchback,1.4,Manual,3.0,4.0,Euro 4
1595,106717,19,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 4
2300,86276,21,Petrol Hybrid,Saloon,1.3,Manual,4.0,5.0,Euro 4
2495,75000,19,Petrol,Hatchback,1.8,Automatic,5.0,5.0,Euro 4
1950,127569,15,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4
1675,127000,17,Petrol,Hatchback,1.6,Manual,3.0,5.0,Euro 4
798,140599,17,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4
10698,22782,5,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6
9600,56984,9,Diesel,Estate,1.6,Manual,5.0,5.0,Euro 6
4449,89653,13,Petrol,Hatchback,1.0,Manual,5.0,5.0,Euro 5
2495,98000,15,Petrol,MPV,1.4,Manual,5.0,7.0,Euro 5
1400,84000,27,Petrol,Saloon,2.0,Automatic,4.0,5.0,Euro 2
3100,96123,16,Diesel,Saloon,2.1,Automatic,4.0,5.0,Euro 5
1995,95843,14,Petrol,Hatchback,1.3,Manual,5.0,5.0,Euro 5
1750,100500,16,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4
2075,82013,14,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5
1349,120000,21,Diesel,MPV,2.0,Manual,5.0,5.0,Euro 4
4250,120000,17,Petrol,Saloon,1.8,Automatic,4.0,5.0,Euro 4
5995,55000,15,Petrol,Convertible,2.0,Manual,2.0,4.0,Euro 5
2950,79000,14,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 5
19800,69690,6,Petrol Plug-in Hybrid,Saloon,2.0,Automatic,4.0,5.0,Euro 6
9149,55301,9,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6
3050,158000,16,Petrol,Hatchback,1.4,Automatic,5.0,5.0,Euro 5
4950,95000,11,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 5
1595,99000,17,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4
3945,108528,13,Petrol,Hatchback,1.6,Manual,3.0,4.0,Euro 5
889,65000,22,Petrol,Hatchback,1.3,Manual,3.0,4.0,Euro 3
2495,104000,16,Petrol,Hatchback,1.6,Automatic,5.0,5.0,Euro 5
1795,50760,23,Petrol,Hatchback,1.6,Automatic,5.0,5.0,Euro 4
1600,69900,18,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 4
4149,115000,17,Petrol,Saloon,1.8,Automatic,4.0,5.0,Euro 4
2250,129111,21,Petrol,Convertible,2.0,Manual,2.0,4.0,Euro 4
2950,105000,14,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5
9149,55301,9,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6
10000,46923,8,Petrol,Hatchback,1.5,Manual,3.0,4.0,Euro 6
12450,64000,10,Petrol,Saloon,2.0,Automatic,4.0,5.0,Euro 6
2450,92000,15,Petrol,Hatchback,1.4,Manual,3.0,4.0,Euro 4
1889,126000,15,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5
1990,72000,28,Petrol,Saloon,3.0,Automatic,4.0,5.0,Euro 2
1000,81783,26,Diesel,SUV,2.0,Manual,5.0,5.0,Euro 2
2499,102000,17,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4
2950,81000,17,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4
1700,56000,18,Petrol,Hatchback,1.6,Manual,3.0,5.0,Euro 4
2290,25300,18,Petrol,Hatchback,1.2,Manual,3.0,4.0,Euro 4
2495,81858,14,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5
1299,87000,17,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4
10000,46923,8,Petrol,Hatchback,1.5,Manual,3.0,4.0,Euro 6
10698,22782,5,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6
2900,119035,15,Petrol,Hatchback,1.6,Automatic,5.0,5.0,Euro 5
1995,102541,16,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5
2110,93930,16,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 4
2390,35000,20,Petrol,Hatchback,1.3,Manual,5.0,5.0,Euro 4
3790,16300,19,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4
1395,114987,21,Petrol,Hatchback,1.8,Automatic,5.0,5.0,Euro 3
8899,118000,10,Petrol,Saloon,2.5,Automatic,4.0,5.0,Euro 5
2595,48000,15,Petrol,Hatchback,1.2,Manual,3.0,4.0,Euro 5
2449,125000,16,Petrol,Saloon,1.4,Manual,4.0,5.0,Euro 4
1289,138000,21,Diesel,Saloon,2.0,Automatic,4.0,5.0,Euro 4
2799,99061,14,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5
9198,78691,7,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6
9600,56984,9,Diesel,Estate,1.6,Manual,5.0,5.0,Euro 6
2050,88000,16,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 4
2950,144000,12,Petrol,Estate,1.8,Automatic,5.0,5.0,Euro 5
4950,90000,13,Diesel,Saloon,2.0,Manual,4.0,5.0,Euro 5
2495,139000,19,Petrol,Saloon,2.0,Manual,4.0,5.0,Euro 4
4449,94500,14,Diesel,Saloon,2.1,Automatic,4.0,5.0,Euro 5
3999,117000,13,Petrol,Hatchback,1.6,Manual,4.0,4.0,Euro 5
3480,117000,16,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4
1889,127000,18,Diesel,Saloon,2.1,Automatic,4.0,5.0,Euro 4
1995,62359,19,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4
1490,128600,15,Diesel,MPV,1.5,Manual,5.0,7.0,Euro 5
1299,87000,17,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4
19800,69690,6,Petrol Plug-in Hybrid,Saloon,2.0,Automatic,4.0,5.0,Euro 6
9149,55301,9,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6
2495,93366,17,Petrol,Hatchback,2.8,Automatic,5.0,5.0,Euro 4
2975,88000,17,Petrol,Hatchback,1.6,Manual,3.0,5.0,Euro 4
2495,99000,18,Petrol,Hatchback,1.6,Manual,3.0,5.0,Euro 4
2499,100000,15,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 4
1995,87500,18,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4
2399,53000,17,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4
1995,70000,16,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 5
